num,t1_p,t2_p,tr2_p
1,3,3,0
2,4,4,0
3,7,7,0
4,10,10,0
5,13,11,0
6,14,12,1
7,15,14,3
8,18,17,5
9,20,19,5
10,23,22,6
11,25,23,7
12,26,26,7
13,29,29,7
14,32,29,8
15,32,30,10
16,32,32,10
17,36,34,10
18,40,36,10
19,40,40,11
20,42,40,14
21,43,43,14
22,46,44,14
23,47,45,14
24,50,48,14
25,51,51,14
26,54,54,14
27,55,55,14
28,58,58,15
29,59,59,16
30,62,61,16
