num,t1_p,t2_p,tr2_p
1,3,3,0
2,6,6,0
3,9,7,0
4,12,10,0
5,15,12,0
6,18,13,1
7,21,14,1
8,24,16,1
9,27,17,2
10,27,19,4
11,30,22,4
12,30,24,5
13,33,27,7
14,36,30,7
15,37,31,7
16,40,34,7
17,43,37,7
18,43,40,7
19,43,40,7
20,46,43,7
21,49,46,8
22,50,49,11
23,52,50,14
24,53,52,14
25,55,54,15
26,58,54,15
27,61,57,15
28,62,60,18
29,65,62,18
30,66,64,19
